County Name/State Abbreviation,State,Year,Labor_Force,Employed,Unemployed,Unemployment Rate,Labor_Force_change,Employed_Force_change,Unemployed_Force_Change
"Yukon-Koyukuk Census Area, AK", AK,2010,"2,575","2,117",458,17.8,0,0,0
"Yuma County, AZ", AZ,2021,"93,693","81,591","12,102",12.9,"-1,075","2,874","-3,949"
"Yuma County, AZ", AZ,2020,"94,768","78,717","16,051",16.9,"-2,370","-2,109",-261
"Yuma County, AZ", AZ,2019,"97,138","80,826","16,312",16.8,"2,740","2,372",368
"Yuma County, AZ", AZ,2018,"94,398","78,454","15,944",16.9,"1,072","1,209",-137
"Yuma County, AZ", AZ,2017,"93,326","77,245","16,081",17.2,"-1,345",655,"-2,000"
"Yuma County, AZ", AZ,2016,"94,671","76,590","18,081",19.1,422,"2,854","-2,432"
"Yuma County, AZ", AZ,2015,"94,249","73,736","20,513",21.8,253,"1,292","-1,039"
"Yuma County, AZ", AZ,2014,"93,996","72,444","21,552",22.9,"-1,952","1,102","-3,054"
"Yuma County, AZ", AZ,2013,"95,948","71,342","24,606",25.6,"1,335",-686,"2,021"
"Yuma County, AZ", AZ,2012,"94,613","72,028","22,585",23.9,"2,353","1,963",390
"Yuma County, AZ", AZ,2011,"92,260","70,065","22,195",24.1,-649,366,"-1,015"
"Yuma County, AZ", AZ,2010,"92,909","69,699","23,210",25.0,0,0,0
"Yuma County, CO", CO,2021,"5,668","5,513",155,2.7,116,109,7
"Yuma County, CO", CO,2020,"5,552","5,404",148,2.7,-513,-570,57
"Yuma County, CO", CO,2019,"6,065","5,974",91,1.5,113,132,-19
"Yuma County, CO", CO,2018,"5,952","5,842",110,1.8,322,296,26
"Yuma County, CO", CO,2017,"5,630","5,546",84,1.5,189,216,-27
"Yuma County, CO", CO,2016,"5,441","5,330",111,2.0,308,326,-18
"Yuma County, CO", CO,2015,"5,133","5,004",129,2.5,177,212,-35
"Yuma County, CO", CO,2014,"4,956","4,792",164,3.3,219,277,-58
"Yuma County, CO", CO,2013,"4,737","4,515",222,4.7,-131,-99,-32
"Yuma County, CO", CO,2012,"4,868","4,614",254,5.2,-78,-61,-17
"Yuma County, CO", CO,2011,"4,946","4,675",271,5.5,41,61,-20
"Yuma County, CO", CO,2010,"4,905","4,614",291,5.9,0,0,0
"Zapata County, TX", TX,2021,"4,526","3,980",546,12.1,-114,-92,-22
"Zapata County, TX", TX,2020,"4,640","4,072",568,12.2,-417,-730,313
"Zapata County, TX", TX,2019,"5,057","4,802",255,5.0,-252,-210,-42
"Zapata County, TX", TX,2018,"5,309","5,012",297,5.6,-42,63,-105
"Zapata County, TX", TX,2017,"5,351","4,949",402,7.5,141,301,-160
"Zapata County, TX", TX,2016,"5,210","4,648",562,10.8,-984,"-1,070",86
"Zapata County, TX", TX,2015,"6,194","5,718",476,7.7,-735,-846,111
"Zapata County, TX", TX,2014,"6,929","6,564",365,5.3,-121,-43,-78
"Zapata County, TX", TX,2013,"7,050","6,607",443,6.3,248,233,15
"Zapata County, TX", TX,2012,"6,802","6,374",428,6.3,337,449,-112
"Zapata County, TX", TX,2011,"6,465","5,925",540,8.4,696,758,-62
"Zapata County, TX", TX,2010,"5,769","5,167",602,10.4,0,0,0
"Zavala County, TX", TX,2021,"3,276","2,861",415,12.7,-94,-28,-66
"Zavala County, TX", TX,2020,"3,370","2,889",481,14.3,60,-141,201
"Zavala County, TX", TX,2019,"3,310","3,030",280,8.5,-218,-156,-62
"Zavala County, TX", TX,2018,"3,528","3,186",342,9.7,-178,-103,-75
"Zavala County, TX", TX,2017,"3,706","3,289",417,11.3,-181,-58,-123
"Zavala County, TX", TX,2016,"3,887","3,347",540,13.9,77,-34,111
"Zavala County, TX", TX,2015,"3,810","3,381",429,11.3,-86,-36,-50
"Zavala County, TX", TX,2014,"3,896","3,417",479,12.3,-110,-4,-106
"Zavala County, TX", TX,2013,"4,006","3,421",585,14.6,-372,-369,-3
"Zavala County, TX", TX,2012,"4,378","3,790",588,13.4,-220,-142,-78
"Zavala County, TX", TX,2011,"4,598","3,932",666,14.5,34,4,30
"Zavala County, TX", TX,2010,"4,564","3,928",636,13.9,0,0,0
"Ziebach County, SD", SD,2021,952,909,43,4.5,10,7,3
"Ziebach County, SD", SD,2020,942,902,40,4.2,15,19,-4
"Ziebach County, SD", SD,2019,927,883,44,4.7,10,10,0
"Ziebach County, SD", SD,2018,917,873,44,4.8,-18,-16,-2
"Ziebach County, SD", SD,2017,935,889,46,4.9,-46,-47,1
"Ziebach County, SD", SD,2016,981,936,45,4.6,-8,-4,-4
"Ziebach County, SD", SD,2015,989,940,49,5.0,-22,-13,-9
"Ziebach County, SD", SD,2014,"1,011",953,58,5.7,-26,-21,-5
"Ziebach County, SD", SD,2013,"1,037",974,63,6.1,-28,-21,-7
"Ziebach County, SD", SD,2012,"1,065",995,70,6.6,-6,-9,3
"Ziebach County, SD", SD,2011,"1,071","1,004",67,6.3,11,5,6
"Ziebach County, SD", SD,2010,"1,060",999,61,5.8,0,0,0
